"titleValue","colorMode","qualifyingSystem","aspectRatio","releaseYear","budget","movieFacebookNumberLikes","numberCriticsForReview","numberUsersReviews","numberUsersVotes","numberFacesInPoster","duration","directorFacebookNumberLikes","actor1FacebookNumberLikes","actor2FacebookNumberLikes","actor3FacebookNumberLikes","fullCastingFacebookNumberLikes","grossLevelValue","genres","country","language","correctMovieExpectations"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008678637448295074,"Color","PG-13",2.35,2013,225000000,83000,509,951,483540,6,186,0,5000,972,773,9152,37567440,"Adventure|Fantasy","USA","English","Buena"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008937082887445166,"Color","PG-13",2.35,2007,180000000,0,251,666,149019,2,113,129,16000,6000,1000,24106,71148699,"Adventure|Family|Fantasy","USA","English","Regular"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009379672825234217,"Color","PG-13",2.35,2005,207000000,0,446,2618,316018,0,201,0,6000,919,84,7123,165500000,"Action|Adventure|Drama|Romance","New Zealand","English","Buena"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000041913130928243074,"Color","PG-13",2.35,1997,200000000,26000,315,2528,793059,0,194,0,29000,14000,794,45223,9701559,"Drama|Romance","USA","English","Buena"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003475978154336075,"Color","PG-13",2.35,2016,250000000,72000,516,1022,272670,0,147,94,21000,19000,11000,64798,154985087,"Action|Adventure|Sci-Fi","USA","English","Buena"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020401699782987516,"Color","PG-13",2.35,2012,209000000,44000,377,751,202382,0,131,532,14000,10000,627,26679,65173160,"Action|Adventure|Sci-Fi|Thriller","USA","English","Regular"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015386093905840195,"Color","PG-13",2,2015,150000000,150000,644,1290,418214,0,124,365,3000,2000,1000,8458,65173160,"Action|Adventure|Sci-Fi|Thriller","USA","English","Buena"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000937047481206402,"Color","PG-13",2.35,2012,200000000,80000,750,1498,522030,0,143,0,883,563,393,2039,85017401,"Action|Adventure|Thriller","UK","English","Buena"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004106559557959865,"Color","PG-13",2.35,2004,200000000,0,300,1303,411164,1,135,0,24000,11000,4000,43388,373377893,"Action|Adventure|Fantasy|Romance","USA","English","Buena"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002928905775096623,"Color","PG-13",2.35,2013,200000000,95000,608,1187,557489,3,195,1000,21000,4000,3000,30426,154985087,"Action|Adventure|Sci-Fi","USA","English","Buena"
